TimeStamp,ch1,ch2,ch3,ch4
1237795.1533,-22205.88,-28157.76,-17992.55,-16008.47
1237795.1573,-22215.13,-28181.75,-18002.18,-16021.25
1237795.1613,-22225.29,-28184.89,-18007.47,-16022.68
1237795.1653,-22227.86,-28173.45,-18004.94,-16011.91
1237795.1693,-22234.44,-28178.5,-18007.23,-16009.09
1237795.1733,-22238.26,-28170.97,-18005.71,-16002.13
1237795.1773,-22235.44,-28174.93,-18002.61,-16000.7
1237795.1813,-22222.95,-28159.19,-17992.31,-15990.07
1237795.1853,-22216.32,-28142.03,-17984.58,-15975.81
1237795.1893,-22209.17,-28138.26,-17973.95,-15965.7
1237795.1933,-22218.47,-28146.22,-17982.34,-15986.59
1237795.1973,-22228.91,-28173.64,-17996.5,-16020.92
1237795.2013,-22225.81,-28166.11,-17995.07,-16012.05
1237795.2053,-22227.67,-28157.05,-17997.12,-15999.94
1237795.2093,-22224.38,-28162.29,-17992.93,-15998.56
1237795.2133,-22221.62,-28159.43,-17993.98,-15999.03
1237795.2173,-22236.21,-28195.24,-18015.24,-16040.8
1237795.2213,-22236.92,-28194.24,-18020.11,-16043.9
1237795.2253,-22223.19,-28172.83,-18010.05,-16023.78
1237795.2293,-22219.14,-28173.31,-18001.65,-16019.58
1237795.2333,-22226.62,-28175.17,-18008.95,-16026.88
1237795.2373,-22238.54,-28200.39,-18021.92,-16049.34
1237795.2413,-22230.58,-28184.23,-18009.52,-16037.9
1237795.2453,-22220.52,-28160.19,-17994.74,-16016.34
1237795.2493,-22226.67,-28168.44,-17996.5,-16016.1
1237795.2533,-22218.18,-28152.95,-17989.21,-15998.32
1237795.2573,-22222.57,-28169.83,-18002.75,-16001.04
1237795.2613,-22221.04,-28164.91,-18004.28,-15998.32
1237795.2653,-22231.53,-28165.96,-18013.24,-16009.9
1237795.2693,-22238.4,-28177.41,-18016.91,-16013.1
1237795.2733,-22225.29,-28156.28,-17999.32,-15997.36
1237795.2773,-22231.49,-28173.07,-18006.85,-16013.39
1237795.2813,-22237.16,-28177.22,-18010.67,-16023.26
1237795.2853,-22230.58,-28159.34,-18000.6,-16003.71
1237795.2893,-22229.05,-28166.39,-17993.36,-16012.77
1237795.2933,-22240.93,-28179.7,-18004.99,-16042.81
1237795.2973,-22242.41,-28196.15,-18010.48,-16057.11
1237795.3013,-22242.5,-28190.66,-18011.0,-16044.19
1237795.3053,-22254.18,-28192.81,-18022.83,-16042.95
1237795.3093,-22251.18,-28199.15,-18020.82,-16046.19
1237795.3133,-22246.27,-28189.28,-18018.15,-16042.43
1237795.3173,-22243.98,-28197.39,-18020.44,-16043.57
1237795.3213,-22228.24,-28180.89,-18008.76,-16027.07
1237795.3253,-22225.0,-28168.35,-18006.57,-16014.53
1237795.3293,-22222.52,-28172.35,-18004.9,-16010.33
1237795.3333,-22228.53,-28169.49,-18009.04,-16010.86
1237795.3373,-22231.87,-28179.84,-18013.1,-16009.86
1237795.3413,-22230.68,-28171.83,-18009.71,-16000.18
1237795.3453,-22225.67,-28155.04,-17998.75,-15990.12
1237795.3493,-22236.78,-28171.69,-18003.66,-16005.9
1237795.3533,-22230.15,-28153.47,-17990.5,-15991.4
1237795.3573,-22223.28,-28156.33,-17986.97,-15988.45
1237795.3613,-22217.42,-28147.56,-17979.43,-15980.82
1237795.3653,-22222.09,-28151.56,-17983.96,-15999.65
1237795.3693,-22230.53,-28172.88,-17990.97,-16027.36
1237795.3733,-22233.11,-28171.49,-17993.69,-16033.17
1237795.3773,-22228.01,-28178.17,-17995.17,-16026.83
1237795.3813,-22227.34,-28175.31,-17997.12,-16024.26
